"","STATEFP","COUNTYFP","TRACTCE","PUMA20","geoid","PUMA5CE","income_cat","hh_size","income_hh","num","var.w","sd","food_costs","housing_cost","trans_cost","cc_cost","healthcare_cost","net_taxes","internet_cost","other_cost","other_cost_20","non_food_exp","nonfood_cost_year","food_cost_year","upper_income","lower_income","food_budget_max","food_budget_min","net_result_max","net_result_min","food_insecure_status","num_hh","moe"
"1","24","017","850101","01700","24017850101","01600","Less than $35,000","1",17945.2582153674,144,108591425.909635,10420.7209879948,332.217382859579,1546.13096267598,562.548,0,38.7154404506985,197.635366574895,29.99,250.960178598626,375.669669107113,2625.9799483002,31511.7593796024,3986.60859431495,35000,0,3488.24062039756,-31511.7593796024,-498.367973917394,-35498.3679739174,"Food Insecure",28.004,1
"2","24","017","850101","01700","24017850101","01600","Less than $35,000","2",22398.8311391364,72,100235379.984847,10011.7620819138,604.562964536079,1569.88515687156,1015.59385332419,47.8395887594243,22.3338453491544,125.788025095472,29.99,329.020540884041,434.889624281528,3140.45101028385,37685.4121234062,7254.75557443295,35000,0,-2685.41212340618,-37685.4121234062,-9940.16769783913,-44940.1676978391,"Food Insecure",10.27,1
"3","24","017","850101","01700","24017850101","01600","Less than $35,000","3",25512.00293125,32,75061495.9513224,8663.8037807491,839.795928390348,1787.17389048393,1170.803025,336.2174375,6.79826323129252,-211.426654761905,29.99,417.077854460557,525.393963774856,3536.63381591388,42439.6057909665,10077.5511406842,35000,0,-7439.60579096653,-42439.6057909665,-17517.1569316507,-52517.1569316507,"Food Insecure",3.682,1
"4","24","017","850101","01700","24017850101","01600","Less than $35,000","4",20089.6327542504,18,103034873.53815,10150.609515598,1047.59041672588,2235.50555190425,1303.33763833076,536.650448222566,0,-458.47297455689,29.99,515.307405518346,656.619193726027,4162.31806941903,49947.8168330284,12571.0850007106,35000,0,-14947.8168330284,-49947.8168330284,-27518.901833739,-62518.901833739,"Food Insecure",3.924,3
"5","24","017","850101","01700","24017850101","01600","Less than $35,000","5",20747.8794285714,10,77833913.8370024,8822.35307823272,1292.82206405997,2667.68445812723,1242.55107692308,1358.95326007326,0,-856.463492990654,29.99,659.200085918354,792.10130443744,5101.91538805126,61222.9846566152,15513.8647687197,35000,0,-26222.9846566152,-61222.9846566152,-41736.8494253348,-76736.8494253348,"Food Insecure",2.119,4
"6","24","017","850101","01700","24017850101","01600","$35,000 to $49,999","1",42510.0015953266,82,20508260.7849493,4528.6047282744,332.217382859579,1546.13096267598,562.548,0,211.294584693319,671.34334154801,29.99,268.218093022888,375.669669107113,3289.5249819402,39474.2997832824,3986.60859431495,49999,35000,10524.7002167176,-4474.2997832824,6538.09162240264,-8460.90837759736,"At-Risk",60.37,1
"7","24","017","850101","01700","24017850101","01600","$35,000 to $49,999","2",41996.0925730742,68,16678557.230435,4083.93893568881,605.095638909926,1569.88515687156,1033.56551187905,71.7703671706263,175.405414139021,537.979113631235,29.99,348.571208897019,434.996159156298,3767.16677258851,45206.0012710621,7261.14766691912,49999,35000,4792.99872893786,-10206.0012710621,-2468.14893798125,-17467.1489379813,"Food Insecure",34.551,4
"8","24","017","850101","01700","24017850101","01600","$35,000 to $49,999","3",43671.4534615385,28,13216888.2752287,3635.50385438232,828.477796473998,1787.17389048393,1194.92276223776,406.844685314685,113.080172547425,358.06274796748,29.99,436.04893070578,523.130337391586,4326.12318925706,51913.4782710848,9941.73355768797,49999,35000,-1914.47827108478,-16913.4782710848,-11856.2118287727,-26855.2118287727,"Food Insecure",14.865,2
"9","24","017","850101","01700","24017850101","01600","$35,000 to $49,999","4",40815.395627907,8,15952050.339111,3994.0017950811,1016.76602165492,2235.50555190425,1101.54747906977,1093.9823255814,26.4436652263375,-228.171961591221,29.99,550.423504343667,650.454314711835,4809.7205645342,57716.6467744104,12201.1922598591,49999,35000,-7717.64677441038,-22716.6467744104,-19918.8390342694,-34917.8390342694,"Food Insecure",5.371,3
"10","24","017","850101","01700","24017850101","01600","$35,000 to $49,999","5",40048.0255566502,18,15406820.2725744,3925.15226106892,1395.07318213467,2667.68445812723,1713.97013793103,1190.3997044335,5.61928344671202,-188.335207860922,29.99,700.273676607315,812.55152805238,6119.60205268486,73435.2246322183,16740.8781856161,49999,35000,-23436.2246322183,-38435.2246322183,-40177.1028178344,-55176.1028178344,"Food Insecure",11.842,3
