"","STATEFP","COUNTYFP","TRACTCE","PUMA5CE_20","geoid","PUMA5CE","income_cat","hh_size","income_hh","num","var.w","sd","food_costs","housing_cost","trans_cost","cc_cost","healthcare_cost","net_taxes","internet_cost","other_cost","non_food_exp","nonfood_cost_year","food_cost_year","upper_income","lower_income","food_budget_max","food_budget_min","net_result_max","net_result_min","food_insecure_status","num_hh","moe"
"1","51","510","200102","51000","51510200102","51255","Less than $35,000","1",18700.1198537576,204,89104689.7398543,9439.52804645732,422.376672603182,1760,343.135757575758,0,45.6636262029923,216.216742653996,29.99,260.116605638193,2655.12273207094,31861.4727848513,5068.52007123819,35000,0,3138.52721514873,-31861.4727848513,-1929.99285608946,-36929.9928560895,"Food Insecure",54.639,2
"2","51","510","200102","51000","51510200102","51255","Less than $35,000","2",19014.8073281549,67,82984829.9071615,9109.6009740911,747.017714133415,1790,557.791459803515,233.363858447489,14.869763880656,19.7733674175064,29.99,337.303279626507,2983.09172917567,35797.1007501081,8964.21256960098,35000,0,-797.100750108075,-35797.1007501081,-9761.31331970906,-44761.3133197091,"Food Insecure",22.504,4
"3","51","510","200102","51000","51510200102","51255","Less than $35,000","3",24127.9030060247,21,98546746.9277131,9927.07141747822,969.24595650745,2040,556.310015688217,1183.20272479564,15.3299086739328,-185.241886920981,29.99,479.407860566524,4118.99862280333,49427.98347364,11630.9514780894,35000,0,-14427.98347364,-49427.98347364,-26058.9349517294,-61058.9349517294,"Food Insecure",26.758,2
"4","51","510","200102","51000","51510200102","51255","Less than $35,000","4",23168.1661754171,33,52165191.2414159,7222.54742050309,1315.87188042726,2550,730.89725515258,1151.81458699473,0,-385.694876455776,29.99,577.857372257456,4654.86433794899,55858.3720553879,15790.4625651271,35000,0,-20858.3720553879,-55858.3720553879,-36648.8346205149,-71648.8346205149,"Food Insecure",37.924,2
"5","51","510","200102","51000","51510200102","51255","Less than $35,000","5",22226.3223129764,30,93668895.7238866,9678.26925249998,1628.46197870047,3040,757.850372108178,2002.10270967742,0,-509.882587209302,29.99,745.840506048607,6065.9010006249,72790.8120074988,19541.5437444057,35000,0,-37790.8120074988,-72790.8120074988,-57332.3557519045,-92332.3557519045,"Food Insecure",32.175,2
"6","51","510","200102","51000","51510200102","51255","$35,000 to $49,999","1",43477.5857766116,121,19844041.5951764,4454.66514961298,422.376672603182,1760,343.135757575758,0,217.504315727237,697.886186112206,29.99,277.300674590618,3325.81693400582,39909.8032080698,5068.52007123818,49999,35000,10089.1967919302,-4909.80320806981,5020.676720692,-9978.323279308,"At-Risk",48.662,1
"7","51","510","200102","51000","51510200102","51255","$35,000 to $49,999","2",43142.1306421782,35,25363450.3118025,5036.21388662182,774.357233105834,1790,686.271515151515,0,176.880601126364,629.630136395636,29.99,345.749934938371,3658.52218761189,43902.2662513426,9292.28679727001,49999,35000,6096.73374865737,-8902.26625134263,-3195.55304861264,-18194.5530486126,"Food Insecure",15.81,2
"8","51","510","200102","51000","51510200102","51255","$35,000 to $49,999","3",42377.9506859049,13,16704369.7264217,4087.09795899508,1057.89137780913,2040,659.449582618639,473.174447439353,123.947393005952,262.323035714286,29.99,438.445280087308,4027.32973886554,48327.9568663865,12694.6965337096,49999,35000,1671.04313361354,-13327.9568663865,-11023.6534000961,-26022.6534000961,"Food Insecure",48.455,2
"9","51","510","200102","51000","51510200102","51255","$35,000 to $49,999","4",42077.934591456,19,22786473.478843,4773.51793532223,1330.69607034481,2550,827.396125213622,835.536231086658,38.3657219517849,117.399175938804,29.99,561.198414859687,4959.88566905056,59518.6280286067,15968.3528441377,49999,35000,-9519.62802860666,-24518.6280286067,-25487.9808727444,-40486.9808727444,"Food Insecure",95.515,2
"10","51","510","200102","51000","51510200102","51255","$35,000 to $49,999","5",40088.8462606226,8,18271337.0447485,4274.4984553452,1606.16100419848,3040,824.36273466371,1952.44243902439,1.12952290249433,-402.929603174603,29.99,745.408570078908,6190.4036634949,74284.8439619388,19273.9320503818,49999,35000,-24285.8439619388,-39284.8439619388,-43559.7760123205,-58558.7760123205,"Food Insecure",57.558,3
"11","51","510","200102","51000","51510200102","51255","$50,000 to $59,999","1",54042.7032794468,90,7207268.1264616,2684.63556678772,422.376672603182,1760,343.135757575758,0,372.229662579827,946.727730716253,29.99,292.773209275877,3744.85636014771,44938.2763217726,5068.52007123818,59999,50000,15060.7236782274,5061.72367822743,9992.20360698924,-6.79639301075804,"At-Risk",31.81,2
"12","51","510","200102","51000","51510200102","51255","$50,000 to $59,999","2",54799.3574825899,35,10599080.4740946,3255.62290108892,774.265608689436,1790,674.359747531304,0,270.83781375,846.3261125,29.99,353.945316997074,3965.45899077838,47585.5078893405,9291.18730427323,59999,50000,12413.4921106595,2414.49211065947,3122.30480638624,-6876.69519361376,"At-Risk",12.847,1
"13","51","510","200102","51000","51510200102","51255","$50,000 to $59,999","3",54413.7356015982,15,3917568.10098989,1979.28474479795,1084.40162381953,2040,836.340716253443,327.884520884521,260.937539726027,800.152697869102,29.99,457.955440068353,4753.26091480145,57039.1309776174,13012.8194858344,59999,50000,2959.86902238264,-7039.13097761736,-10052.9504634518,-20051.9504634518,"Food Insecure",44.678,2
"14","51","510","200102","51000","51510200102","51255","$50,000 to $59,999","4",53845.4409520683,6,6333713.22980555,2516.68695506723,1313.24201996453,2550,686.271515151515,953.309285714286,147.098248391813,344.72264254386,29.99,567.991106922215,5279.38279872369,63352.5935846842,15758.9042395744,59999,50000,-3353.59358468425,-13352.5935846842,-19112.4978242586,-29111.4978242586,"Food Insecure",34.297,2
"15","51","510","200102","51000","51510200102","51255","$50,000 to $59,999","5",54755.1789461802,5,13161442.4609831,3627.87023761643,1535.47050835025,3040,948.02250971251,2284.87923076923,90.6167763888889,232.422897727273,29.99,792.897902522088,7418.82931711999,89025.9518054399,18425.6461002031,59999,50000,-29026.9518054399,-39025.9518054399,-47452.5979056429,-57451.5979056429,"Food Insecure",35.367,3
"16","51","510","200102","51000","51510200102","51255","$60,000 to $74,999","1",66805.2569342005,162,18238247.2800609,4270.62609930452,422.376672603182,1760,343.135757575758,0,481.93001647172,1332.15605557288,29.99,303.743244665066,4250.95507428543,51011.4608914251,5068.52007123818,74999,60000,23987.5391085749,8988.53910857487,18919.0190373367,3920.01903733669,"Food Secure",47.242,2
"17","51","510","200102","51000","51510200102","51255","$60,000 to $74,999","2",68991.4752098713,58,21668215.1274277,4654.91300965203,774.33160811246,1790,682.940100029421,0,378.9932591211,1193.87120404696,29.99,365.625496726298,4441.42005992378,53297.0407190853,9291.97929734952,74999,60000,21701.9592809147,6702.95928091469,12409.9799835652,-2589.02001643482,"At-Risk",17.797,3
"18","51","510","200102","51000","51510200102","51255","$60,000 to $74,999","3",68604.5090798831,19,22914289.715411,4786.88726788202,1039.95233907097,2040,761.578026833218,648.646870229008,341.475162883436,956.908586400818,29.99,486.164239901663,5264.76288624814,63177.1546349777,12479.4280688516,74999,60000,11821.8453650223,-3177.1546349777,-657.582703829317,-15656.5827038293,"Food Insecure",25.862,2
"19","51","510","200102","51000","51510200102","51255","$60,000 to $74,999","4",65552.3753550902,9,27365411.1016703,5231.19595328547,1249.77497282241,2550,745.130568458306,1449.8105109489,256.345087217514,641.992856638418,29.99,628.105113944714,6301.37413720786,75616.4896464943,14997.2996738689,74999,60000,-617.489646494272,-15616.4896464943,-15614.7893203632,-30613.7893203632,"Food Insecure",13.674,1
"20","51","510","200102","51000","51510200102","51255","$60,000 to $74,999","5",66454.1191227453,13,15231804.8769848,3902.79449586892,1651.29203542616,3040,997.283925209542,1684.83063829787,197.077001719577,527.587483465608,29.99,760.047360065315,7236.81640875791,86841.796905095,19815.5044251139,74999,60000,-11842.796905095,-26841.796905095,-31658.3013302089,-46657.3013302089,"Food Insecure",16.424,3
"21","51","510","200102","51000","51510200102","51255","$75,000 to $99,999","1",86234.8093296824,249,51577478.2992893,7181.7461873342,422.376672603182,1760,343.135757575757,0,613.671956277871,1892.77775571349,29.99,316.917438645681,4956.4929082128,59477.9148985536,5068.52007123819,99999,75000,40521.0851014464,15522.0851014464,35452.5650302082,10453.5650302082,"Food Secure",70.079,2
"22","51","510","200102","51000","51510200102","51255","$75,000 to $99,999","2",88053.9065877118,107,48110891.6108113,6936.20152611005,773.341739711142,1790,674.434858825645,20.1598664688427,622.006197738802,1671.34544295966,29.99,390.993266274443,5198.9296322674,62387.1555872088,9280.10087653371,99999,75000,37611.8444127912,12612.8444127912,28331.7435362575,3332.74353625754,"Food Secure",43.102,3
"23","51","510","200102","51000","51510200102","51255","$75,000 to $99,999","3",84955.2098159417,28,57298949.8712106,7569.60698261215,1067.10616890736,2040,871.399741747371,308.171340206186,451.957771850198,1402.74118675595,29.99,476.862502271112,5581.12254283082,66973.4705139698,12805.2740268884,99999,75000,33025.5294860302,8026.52948603018,20220.2554591418,-4778.74454085819,"At-Risk",39.789,3
"24","51","510","200102","51000","51510200102","51255","$75,000 to $99,999","4",85178.9745954868,24,54221624.2160646,7363.533405646,1334.08162880652,2550,1021.83810160428,701.098941176471,428.096394679186,1308.76429838289,29.99,606.510506626646,6646.29824246947,79755.5789096337,16008.9795456783,99999,75000,20243.4210903663,-4755.57890963365,4234.44154468807,-20764.5584553119,"At-Risk",48.183,1
