"","STATEFP","COUNTYFP","TRACTCE","PUMA5CE_20","geoid","PUMA5CE","income_cat","hh_size","income_hh","num","var.w","sd","food_costs","housing_cost","trans_cost","cc_cost","healthcare_cost","net_taxes","internet_cost","other_cost","non_food_exp","nonfood_cost_year","food_cost_year","upper_income","lower_income","food_budget_max","food_budget_min","net_result_max","net_result_min","food_insecure_status","num_hh","moe"
"1","51","153","900100","15303","51153900100","51246","Less than $35,000","1",19556.6270820996,166,100667526.143324,10033.3207934026,356.717189855124,1590,441.963878787879,0,45.5480142184826,213.267401121886,29.99,246.421908286148,2567.1912024144,30806.2944289728,4280.60627826148,35000,0,4193.70557102725,-30806.2944289728,-86.9007072342356,-35086.9007072342,"Food Insecure",67.924,2
"2","51","153","900100","15303","51153900100","51246","Less than $35,000","2",22986.0763512597,83,72953999.3154235,8541.31133465017,648.168503692559,1620,762.725636332218,45.9347433903577,21.3691553519932,126.43187192536,29.99,312.818803876713,2919.27021087664,35031.2425305197,7778.02204431071,35000,0,-31.2425305197103,-35031.2425305197,-7809.26457483042,-42809.2645748304,"Food Insecure",29.041,1
"3","51","153","900100","15303","51153900100","51246","Less than $35,000","3",23140.7220702159,32,87245873.9386534,9340.54998052328,875.559582794823,1840,866.86763197719,485.902291917973,19.3580997207679,-138.688557591623,29.99,411.767760641075,3515.19722666538,42182.3667199846,10506.7149935379,35000,0,-7182.36671998461,-42182.3667199846,-17689.0817135225,-52689.0817135225,"Food Insecure",6.266,1
"4","51","153","900100","15303","51153900100","51246","Less than $35,000","4",23231.0655561649,27,42569261.2604571,6524.51233889991,1110.41823260706,2300,817.633175757576,726.211783783784,0,-488.444400783828,29.99,498.425319214842,3883.81587797237,46605.7905356685,13325.0187912847,35000,0,-11605.7905356685,-46605.7905356685,-24930.8093269532,-59930.8093269532,"Food Insecure",7.637,1
"5","51","153","900100","15303","51153900100","51246","Less than $35,000","5",25157.8652776936,37,87461166.7834684,9352.06751384251,1369.90935974697,2750,1131.71621527876,1506.91250388802,0,-489.666500762777,29.99,678.852807891375,5607.80502629538,67293.6603155446,16438.9123169636,35000,0,-32293.6603155446,-67293.6603155446,-48732.5726325082,-83732.5726325082,"Food Insecure",6.132,3
"6","51","153","900100","15303","51153900100","51246","$35,000 to $49,999","1",43933.6822014918,91,14880393.6249054,3857.51132531136,356.717189855124,1590,441.963878787879,0,218.04420867934,694.575736618309,29.99,263.671527732234,3238.24535181776,38858.9442218131,4280.60627826148,49999,35000,11140.0557781869,-3858.94422181314,6859.44949992538,-8139.55050007462,"At-Risk",57.298,1
"7","51","153","900100","15303","51153900100","51246","$35,000 to $49,999","2",42966.3047860317,65,17860405.3968096,4226.15728491139,653.026273624084,1620,840.539840206947,14.2612195121951,178.685670483174,561.692187441248,29.99,333.65030038264,3578.8192180262,42945.8306163145,7836.31528348901,49999,35000,7053.16938368555,-7945.83061631445,-783.14589980346,-15782.1458998035,"Food Insecure",36.927,1
"8","51","153","900100","15303","51153900100","51246","$35,000 to $49,999","3",42131.4343301617,30,22211825.0937977,4712.94229688819,891.608178098337,1840,940.973220627326,468.659649122807,102.999403255588,290.858007774538,29.99,427.423045110406,4100.90332589066,49210.839910688,10699.29813718,49999,35000,788.160089312019,-14210.839910688,-9911.13804786803,-24910.138047868,"Food Insecure",8.099,1
"9","51","153","900100","15303","51153900100","51246","$35,000 to $49,999","4",42097.680913906,35,15988817.5323592,3998.60194722595,1107.08268423264,2300,946.465856283634,837.635935422602,45.5803915967692,-11.1611540851196,29.99,526.675486753565,4675.18651597145,56102.2381916574,13284.9922107917,49999,35000,-6103.23819165739,-21102.2381916574,-19388.2304024491,-34387.2304024491,"Food Insecure",14.374,1
"10","51","153","900100","15303","51153900100","51246","$35,000 to $49,999","5",43299.7234883782,27,19318294.498326,4395.25818335237,1421.98194613014,2750,1277.80230240226,1001.01160621762,4.15992087845969,-71.2858152827918,29.99,648.494577562848,5640.17259177839,67682.0711013407,17063.7833535617,49999,35000,-17683.0711013407,-32682.0711013407,-34746.8544549025,-49745.8544549025,"Food Insecure",3.302,1
"11","51","153","900100","15303","51153900100","51246","$50,000 to $59,999","1",55171.816042812,62,6986833.83349341,2643.26196838176,356.717189855124,1590,441.963878787879,0,379.487195467836,946.760747300945,29.99,279.815826411084,3668.01764796774,44016.2117756129,4280.60627826148,59999,50000,15982.7882243871,5983.78822438708,11702.1819461256,1703.18194612559,"Food Secure",30.61,1
"12","51","153","900100","15303","51153900100","51246","$50,000 to $59,999","2",55712.4013858716,49,8810362.36336374,2968.22545696309,650.645342511465,1620,872.898355966078,20.011265597148,280.127601758147,842.67456189251,29.99,347.367256583284,4013.06904179717,48156.828501566,7807.74411013758,59999,50000,11842.171498434,1843.17149843399,4034.42738829642,-5964.57261170358,"At-Risk",20.816,1
"13","51","153","900100","15303","51153900100","51246","$50,000 to $59,999","3",54456.9656628536,16,6639519.65220869,2576.72653811162,895.993265239928,1840,885.5062,393.626285714286,216.083814686469,626.775764576458,29.99,426.119956564068,4418.10202154128,53017.2242584954,10751.9191828791,59999,50000,6981.77574150464,-3017.22425849536,-3770.1434413745,-13769.1434413745,"Food Insecure",2.109,2
"14","51","153","900100","15303","51153900100","51246","$50,000 to $59,999","4",54830.1747350192,24,7724191.94850155,2779.24305315342,1092.07347815732,2300,1000.79320629371,930.748205128205,159.532057358294,398.050612324493,29.99,551.313694693753,5370.42777579845,64445.1333095814,13104.8817378878,59999,50000,-4446.13330958141,-14445.1333095814,-17551.0150474693,-27550.0150474693,"Food Insecure",6.794,1
"15","51","153","900100","15303","51153900100","51246","$50,000 to $59,999","5",56303.5324200455,17,6415420.41833065,2532.8680222883,1539.50490066807,2750,1164.0338970732,1308.07962049336,69.6907526208651,165.677959287532,29.99,686.129917085549,6173.6021465605,74083.225758726,18474.0588080168,59999,50000,-14084.225758726,-24083.225758726,-32558.2845667429,-42557.2845667429,"Food Insecure",2.672,2
"16","51","153","900100","15303","51153900100","51246","$60,000 to $74,999","1",68274.3489362885,90,18508159.9304129,4302.11110158871,356.717189855124,1590,441.963878787879,0,481.422650764999,1339.5970259584,29.99,290.0093719408,4172.98292745208,50075.7951294249,4280.60627826148,74999,60000,24923.2048705751,9924.20487057509,20642.5985923136,5643.59859231361,"Food Secure",7.351,1
"17","51","153","900100","15303","51153900100","51246","$60,000 to $74,999","2",67850.004165016,89,19754176.5856307,4444.56708641356,640.081306652297,1620,807.71354203367,108.283875555556,402.03304515122,1158.70131117367,29.99,360.810176939274,4487.53195085339,53850.3834102407,7680.97567982756,74999,60000,21148.6165897593,6149.61658975935,13467.6409099318,-1531.35909006822,"At-Risk",6.284,1
"18","51","153","900100","15303","51153900100","51246","$60,000 to $74,999","3",68572.5981956347,30,20598277.52314,4538.53252969943,880.432027342568,1840,980.664037474609,424.95365253078,338.427541274238,945.248598799631,29.99,449.44672586222,5008.73055594148,60104.7666712977,10565.1843281108,74999,60000,14894.2333287023,-104.766671297737,4329.04900059145,-10669.9509994086,"At-Risk",2.114,2
"19","51","153","900100","15303","51153900100","51246","$60,000 to $74,999","4",67880.612513764,43,17120204.2458287,4137.65685452875,1138.32206528459,2300,1066.3331084117,658.589525862069,296.515467842245,698.043094425483,29.99,548.975016740061,5598.44621328156,67181.3545593787,13659.8647834151,74999,60000,7817.64544062127,-7181.35455937873,-5842.21934279379,-20841.2193427938,"Food Insecure",2.774,2
"20","51","153","900100","15303","51153900100","51246","$60,000 to $74,999","5",69523.7955726937,35,22606190.1370051,4754.59673757986,1470.2856677419,2750,1232.8466092504,1298.34629853322,179.149380057367,491.851976147343,29.99,696.061795558288,6678.24605954661,80138.9527145594,17643.4280129028,74999,60000,-5139.95271455937,-20138.9527145594,-22783.3807274622,-37782.3807274622,"Food Insecure",2.477,1
"21","51","153","900100","15303","51153900100","51246","$75,000 to $99,999","1",87685.9386634261,134,56749617.0840265,7533.23417159101,356.717189855124,1590,441.963878787879,0,621.580242341757,1915.95080824972,29.99,304.025131098476,4903.51006047783,58842.120725734,4280.60627826148,99999,75000,41156.879274266,16157.879274266,36876.2729960045,11877.2729960045,"Food Secure",63.158,1
"22","51","153","900100","15303","51153900100","51246","$75,000 to $99,999","2",87182.5387522176,169,45201350.569558,6723.19496739147,650.485534648132,1620,834.375904832207,46.5805496564647,624.801841773535,1610.21547430355,29.99,380.623383091034,5146.5871536568,61759.0458438815,7805.82641577758,99999,75000,38239.9541561185,13240.9541561185,30434.1277403409,5435.12774034087,"Food Secure",61.832,1
"23","51","153","900100","15303","51153900100","51246","$75,000 to $99,999","3",87691.2023274916,72,39397603.745715,6276.75105016242,906.352952075563,1840,1029.75474144789,280.479904534606,516.006033502963,1368.24423165138,29.99,460.258363156102,5524.73327429294,66296.7992915153,10876.2354249068,99999,75000,33702.2007084847,8703.20070848474,22825.965283578,-2173.03471642201,"At-Risk",16.283,1
"24","51","153","900100","15303","51153900100","51246","$75,000 to $99,999","4",88849.2669205172,74,43883545.4849562,6624.46567543045,1099.2474457951,2300,1053.22592102674,811.089054117647,438.481815450346,1153.63493764434,29.99,573.203423638983,6359.62515187806,76315.5018225367,13190.9693495412,99999,75000,23683.4981774633,-1315.50182253668,10492.5288279221,-14506.4711720779,"At-Risk",25.143,2
"25","51","153","900100","15303","51153900100","51246","$75,000 to $99,999","5",86461.6414927852,74,42906668.5897524,6550.31820522884,1545.80064600629,2750,1530.53546151204,1197.46946573125,345.872034243427,899.589746276889,29.99,739.966760749301,7493.42346851291,89921.0816221549,18549.6077520755,99999,75000,10077.9183778451,-14921.0816221549,-8471.68937423042,-33470.6893742304,"Food Insecure",9.583,3
