"","STATEFP","COUNTYFP","TRACTCE","PUMA20","geoid","PUMA5CE","income_cat","hh_size","income_hh","num","var.w","sd","food_costs","housing_cost","trans_cost","cc_cost","healthcare_cost","net_taxes","internet_cost","other_cost","non_food_exp","nonfood_cost_year","food_cost_year","upper_income","lower_income","food_budget_max","food_budget_min","net_result_max","net_result_min","food_insecure_status","num_hh","moe"
"1","24","033","800102","01102","24033800102","01102","Less than $35,000","1",18855.6096255279,178,93649804.7532904,9677.2829220443,357.697182134945,1550,435.12,0,42.5894973253012,210.760172289157,29.99,241.539667946025,2509.99933756048,30119.9920507258,4292.36618561934,35000,0,4880.00794927422,-30119.9920507258,587.64176365487,-34412.3582363451,"At-Risk",259.772,3
"2","24","033","800102","01102","24033800102","01102","Less than $35,000","2",22234.1803494898,62,80921872.7606549,8995.65855069293,638.4583816721,1570,717.615,198.669260204082,20.7850043473639,62.8611575255102,29.99,317.551764622355,2917.47218669931,35009.6662403917,7661.5005800652,35000,0,-9.66624039172893,-35009.6662403917,-7671.16682045693,-42671.1668204569,"Food Insecure",64.281,1
"3","24","033","800102","01102","24033800102","01102","Less than $35,000","3",26098.9387616708,34,63525744.3084701,7970.30390314385,908.746249414997,1790,953.629090909091,269.826437346437,14.05320282523,-82.5357150678931,29.99,396.624498049575,3371.58751406244,40459.0501687493,10904.95499298,35000,0,-5459.05016874928,-40459.0501687493,-16364.0051617292,-51364.0051617292,"Food Insecure",13.683,1
"4","24","033","800102","01102","24033800102","01102","Less than $35,000","4",19380.1439049881,19,130124814.877033,11407.226432268,1105.22121640007,2240,928.118194774347,944.68674584323,0,-423.024568487728,29.99,524.801615701765,4244.57198783161,50934.8638539794,13262.6545968008,35000,0,-15934.8638539794,-50934.8638539794,-29197.5184507802,-64197.5184507802,"Food Insecure",9.096,1
"5","24","033","800102","01102","24033800102","01102","Less than $35,000","5",20155.8948306709,13,85021576.6648131,9220.71454198714,1424.68586811226,2670,882.75143769968,1119.93220447284,0,-708.178019169329,29.99,612.735951028478,4607.23157403167,55286.7788883801,17096.2304173471,35000,0,-20286.7788883801,-55286.7788883801,-37383.0093057272,-72383.0093057272,"Food Insecure",2.169,2
"6","24","033","800102","01102","24033800102","01102","$35,000 to $49,999","1",42752.1152264845,92,15080819.6975803,3883.40310778837,357.697182134945,1550,435.12,0,215.180104667998,686.14366533533,29.99,258.798728680294,3175.23249868362,38102.7899842035,4292.36618561935,49999,35000,11896.2100157965,-3102.78998420347,7603.84383017719,-7395.15616982281,"At-Risk",78.832,3
"7","24","033","800102","01102","24033800102","01102","$35,000 to $49,999","2",43412.62885633,60,14306911.8453427,3782.4478641936,643.034363293888,1570,777.707368421053,79.133627311522,192.71527528568,589.340805373207,29.99,329.258063431214,3568.14513982268,42817.7416778721,7716.41235952665,49999,35000,7181.25832212789,-7817.74167787211,-535.154037398761,-15534.1540373988,"Food Insecure",33.539,2
"8","24","033","800102","01102","24033800102","01102","$35,000 to $49,999","3",42850.5291329879,23,19265329.8371628,4389.22884310705,894.990198223845,1790,880.009533678756,337.454576856649,106.1289834962,281.159033659066,29.99,403.857329225545,3828.59945691622,45943.1934829946,10739.8823786861,49999,35000,4055.8065170054,-10943.1934829946,-6684.07586168073,-21683.0758616807,"Food Insecure",10.779,1
"9","24","033","800102","01102","24033800102","01102","$35,000 to $49,999","4",43273.7286769231,15,26095666.6828112,5108.39179026151,1088.63037190006,2240,898.355446153846,1148.31704615385,46.1431601953602,-16.6739255189255,29.99,545.143602440311,4891.27532942444,58695.3039530933,13063.5644628008,49999,35000,-8696.30395309325,-23695.3039530933,-21759.868415894,-36758.868415894,"Food Insecure",4.45,1
"10","24","033","800102","01102","24033800102","01102","$35,000 to $49,999","5",41617.2797974683,9,17459258.3891075,4178.42774128111,1455.9697380856,2670,1021.70582278481,2165.87139240506,12.0275518987342,-364.615,29.99,735.55645051742,6270.53621760603,75246.4346112723,17471.6368570272,49999,35000,-25247.4346112723,-40246.4346112723,-42719.0714682995,-57718.0714682995,"Food Insecure",0.401,1
