"","STATEFP","COUNTYFP","TRACTCE","PUMA5CE_20","geoid","PUMA5CE","income_cat","hh_size","income_hh","num","var.w","sd","food_costs","housing_cost","trans_cost","cc_cost","healthcare_cost","net_taxes","internet_cost","other_cost","non_food_exp","nonfood_cost_year","food_cost_year","upper_income","lower_income","food_budget_max","food_budget_min","net_result_max","net_result_min","food_insecure_status","num_hh","moe"
"1","51","107","610101","10703","51107610101","10703","Less than $35,000","1",20358.4955686854,74,63271561.242035,7954.34228846327,393.956896488351,1445.61636010511,594.538424242424,0,45.9159125129803,223.721819833852,44.99,252.501759334886,2607.28427602925,31287.411312351,4727.48275786021,35000,0,3712.588687649,-31287.411312351,-1014.8940702112,-36014.8940702112,"Food Insecure",38.971,2
"2","51","107","610101","10703","51107610101","10703","Less than $35,000","2",19780.2756410256,44,111818757.134636,10574.438856726,711.472437092555,1468.47023877528,1081.72963299663,77.6769230769231,26.590187254902,113.019364630468,44.99,341.092941919629,3153.56928865383,37842.831463846,8537.66924511066,35000,0,-2842.83146384598,-37842.831463846,-11380.5007089566,-46380.5007089566,"Food Insecure",49.718,1
"3","51","107","610101","10703","51107610101","10703","Less than $35,000","3",21130.4931506849,15,47978163.2121782,6926.62711658266,946.447517193762,1669.88575345596,1221.65429638854,734.288,5.10952739463602,-205.771357758621,44.99,462.23750944329,3932.39372892381,47188.7247470857,11357.3702063251,35000,0,-12188.7247470857,-47188.7247470857,-23546.0949534108,-58546.0949534108,"Food Insecure",13.566,1
"4","51","107","610101","10703","51107610101","10703","Less than $35,000","4",30560.2285714286,4,7497404.76090226,2738.1389228639,1222.00862267584,2085.57066148749,1234.37501414141,1164.88914285714,0,-406.291130952381,44.99,575.183344116189,4698.71703164985,56384.6043797982,14664.1034721101,35000,0,-21384.6043797982,-56384.6043797982,-36048.7078519084,-71048.7078519084,"Food Insecure",5.477,1
"5","51","107","610101","10703","51107610101","10703","Less than $35,000","5",25545.0193050193,12,75795157.0112538,8706.04140877206,1603.1762525768,2488.40169084885,1638.99781818182,1481.69235521236,0,-392.697462546816,44.99,725.725811681982,5987.11021337819,71845.3225605383,19238.1150309216,35000,0,-36845.3225605383,-71845.3225605383,-56083.4375914599,-91083.4375914599,"Food Insecure",6.267,3
"6","51","107","610101","10703","51107610101","10703","$35,000 to $49,999","1",42918.9034307497,46,14415313.4817567,3796.7503844415,393.956896488351,1445.61636010511,594.538424242424,0,217.697039439655,678.983188457854,44.99,269.679872027554,3251.50488427259,39018.0586112711,4727.48275786021,49999,35000,10980.9413887289,-4018.05861127112,6253.45863086866,-8745.54136913134,"At-Risk",19.764,2
"7","51","107","610101","10703","51107610101","10703","$35,000 to $49,999","2",43969.7558139535,24,13385902.0160011,3658.67489892189,695.340342715293,1468.47023877528,1078.46504862579,198.920930232558,197.319973043944,531.088700428725,44.99,368.350653339287,3887.60554444558,46651.266533347,8344.08411258352,49999,35000,3347.733466653,-11651.266533347,-4996.35064593052,-19995.3506459305,"Food Insecure",13.413,1
"8","51","107","610101","10703","51107610101","10703","$35,000 to $49,999","3",44749.4541484716,12,23408209.6700375,4838.20314476744,975.194106193974,1669.88575345596,1394.17962366018,462.912139737991,103.263624166667,406.944881944444,44.99,465.042524721477,4547.21854768672,54566.6225722406,11702.3292743277,49999,35000,-4567.62257224064,-19566.6225722406,-16269.9518465683,-31268.9518465683,"Food Insecure",7.431,1
"9","51","107","610101","10703","51107610101","10703","$35,000 to $49,999","4",41077.3241590214,6,9920658.31791149,3149.70765594388,1280.72259027622,2085.57066148749,1238.16717709202,734.336880733945,73.3384220183486,0.443769113149844,44.99,545.712573160802,4722.55948360576,56670.7138032691,15368.6710833146,49999,35000,-6671.71380326907,-21670.7138032691,-22040.3848865837,-37039.3848865837,"Food Insecure",6.955,1
"10","51","107","610101","10703","51107610101","10703","$35,000 to $49,999","5",43844.752238806,10,5128658.6120833,2264.65419260498,1384.00885674208,2488.40169084885,1272.48970203528,1994.66125373134,37.3756791327913,-251.918136856369,44.99,722.192718249034,6308.19290714093,75698.3148856912,16608.1062809049,49999,35000,-25699.3148856912,-40698.3148856912,-42307.4211665961,-57306.4211665961,"Food Insecure",12.438,3
"11","51","107","610101","10703","51107610101","10703","$50,000 to $59,999","1",54819.1344778255,32,7263198.75266345,2695.03223592287,393.956896488351,1445.61636010511,594.538424242424,0,384.515033065217,973.8836,44.99,286.36167139011,3729.90508880286,44758.8610656343,4727.48275786021,59999,50000,15240.1389343657,5241.13893436569,10512.6561765055,513.656176505482,"Food Secure",19.822,2
"12","51","107","610101","10703","51107610101","10703","$50,000 to $59,999","2",55179.1873706004,31,5062616.54827556,2250.02589946773,721.726785298756,1468.47023877528,1061.67575757576,0,282.685939930556,786.864586226852,44.99,357.954872158035,4002.64139466648,48031.6967359977,8660.72142358507,59999,50000,11967.3032640023,1968.30326400229,3306.58184041722,-6692.41815958278,"At-Risk",20.577,1
"13","51","107","610101","10703","51107610101","10703","$50,000 to $59,999","3",52424.0845070423,10,5263180.86915841,2294.16234585925,957.550279626297,1669.88575345596,1136.74071959027,728.493802816901,223.891386798246,635.322513157895,44.99,476.155194228767,4915.47937004803,58985.7524405764,11490.6033555156,59999,50000,1013.24755942358,-8985.75244057642,-10477.355796092,-20476.355796092,"Food Insecure",6.674,2
"14","51","107","610101","10703","51107610101","10703","$50,000 to $59,999","4",54517.4540540541,7,1909449.55358402,1381.82833723441,1245.89817742483,2085.57066148749,1751.47806060606,631.770810810811,193.4487,698.477161290323,44.99,595.315641032919,6001.0510352276,72012.6124227312,14950.778129098,59999,50000,-12013.6124227312,-22012.6124227312,-26964.3905518292,-36963.3905518292,"Food Insecure",3.185,1
"15","51","107","610101","10703","51107610101","10703","$50,000 to $59,999","5",53705.3103448276,6,12175436.8395455,3489.33186148087,1690.89748883631,2488.40169084885,1657.19043538837,2315.09333333333,88.7471449074074,254.337135416667,44.99,828.532009331427,7677.29174922605,92127.5009907126,20290.7698660357,59999,50000,-32128.5009907126,-42127.5009907126,-52419.2708567484,-62418.2708567484,"Food Insecure",3.742,2
