"","STATEFP","COUNTYFP","TRACTCE","PUMA20","geoid","PUMA5CE","income_cat","hh_size","income_hh","num","var.w","sd","food_costs","housing_cost","trans_cost","cc_cost","healthcare_cost","net_taxes","internet_cost","other_cost","non_food_exp","nonfood_cost_year","food_cost_year","upper_income","lower_income","food_budget_max","food_budget_min","net_result_max","net_result_min","food_insecure_status","moe.x","num_hh","moe.y"
"1","24","021","740200","00302","24021740200","00302","Less than $35,000","1",19085.234228972,169,88902661.2875992,9428.82077927029,349.857243896371,1370,547.008,0,43.9645541666885,226.177052962769,29.99,234.081979806306,2451.22158693576,29414.6590432292,4198.28692675645,35000,0,5585.34095677084,-29414.6590432292,1387.05403001439,-33612.9459699856,"At-Risk",3,208.287,3
"2","24","021","740200","00302","24021740200","00302","Less than $35,000","2",21163.2004816956,70,76830498.5170804,8765.30082296554,635.201089878894,1400,995.645903660886,53.8925112395633,17.8710934790462,129.598075893813,29.99,313.260059825839,2940.25764409915,35283.0917291898,7622.41307854673,35000,0,-283.091729189771,-35283.0917291898,-7905.5048077365,-42905.5048077365,"Food Insecure",2,66.779,2
"3","24","021","740200","00302","24021740200","00302","Less than $35,000","3",15648.6929906542,24,106936438.692892,10341.0076246414,879.870672244744,1590,983.251140186916,584.815327102804,0,-152.424635254413,29.99,406.792713953446,3442.42454598875,41309.094551865,10558.4480669369,35000,0,-6309.09455186503,-41309.094551865,-16867.5426188019,-51867.5426188019,"Food Insecure",1,29.868,1
"4","24","021","740200","00302","24021740200","00302","Less than $35,000","4",16705.4009433962,12,51710121.372054,7190.97499453683,1102.04577835605,1990,1162.13397735849,922.513962264151,0,-634.101047169811,29.99,520.668371797869,3991.2052642507,47894.4631710084,13224.5493402726,35000,0,-12894.4631710084,-47894.4631710084,-26119.012511281,-61119.012511281,"Food Insecure",2,12.308,2
"5","24","021","740200","00302","24021740200","00302","Less than $35,000","5",22950.2881294964,17,69133269.0596965,8314.64184795091,1462.42141964647,2370,1465.24684892086,1111.336882494,0,-665.155680592992,29.99,643.899515106134,4955.31756592801,59463.8107911361,17549.0570357577,35000,0,-24463.8107911361,-59463.8107911361,-42012.8678268938,-77012.8678268938,"Food Insecure",4,8.757,3
"6","24","021","740200","00302","24021740200","00302","$35,000 to $49,999","1",42965.4826530612,105,16396966.1453795,4049.31675043822,349.857243896371,1370,547.008,0,216.123120198832,692.859866260369,29.99,251.29783640952,3107.27882286872,37287.3458744247,4198.28692675645,49999,35000,12711.6541255753,-2287.34587442465,8513.36719881889,-6485.63280118111,"At-Risk",3,47.452,3
"7","24","021","740200","00302","24021740200","00302","$35,000 to $49,999","2",42800.2913829787,70,20411629.7405378,4517.92316673688,632.714766442437,1400,1013.3226212766,81.3286241134752,184.080936608538,550.302123635913,29.99,334.143694844105,3593.16800047863,43118.0160057435,7592.57719730924,49999,35000,6880.98399425649,-8118.01600574351,-711.593203052757,-15710.5932030528,"Food Insecure",2,50.286,2
"8","24","021","740200","00302","24021740200","00302","$35,000 to $49,999","3",42976.285443038,23,20423231.3185422,4519.20693468912,893.715366722779,1590,1343.28546835443,193.053164556962,110.860224736713,469.184092847769,29.99,416.090422437088,4152.46337293296,49829.5604751955,10724.5844006733,49999,35000,169.43952480446,-14829.5604751955,-10555.1448758689,-25554.1448758689,"Food Insecure",1,20.508,1
"9","24","021","740200","00302","24021740200","00302","$35,000 to $49,999","4",42336.7212765957,7,17361716.7876404,4166.73934721629,1065.02273912565,1990,939.390638297872,1039.74504559271,42.5005509691011,-178.256379525593,29.99,510.664897398533,4374.03475273262,52488.4170327914,12780.2728695078,49999,35000,-2489.41703279141,-17488.4170327914,-15269.6899022992,-30268.6899022992,"Food Insecure",2,11.733,2
"10","24","021","740200","00302","24021740200","00302","$35,000 to $49,999","5",43399.2608208955,13,22305720.3544026,4722.89321861108,1486.20179414728,2370,1390.65217910448,1376.67422885572,9.18710536188616,-326.599419642857,29.99,666.270530746937,5516.17462442616,66194.095493114,17834.4215297674,49999,35000,-16195.095493114,-31194.095493114,-34029.5170228814,-49028.5170228814,"Food Insecure",4,8.02,3
"11","24","021","740200","00302","24021740200","00302","$50,000 to $59,999","1",55905.7036649215,67,6707114.18796934,2589.8096818047,349.857243896371,1370,547.008,0,382.646536575398,966.009265905383,29.99,267.950178047177,3563.60398052796,42763.2477663355,4198.28692675645,59999,50000,17235.7522336645,7236.75223366451,13037.4653069081,3038.46530690805,"Food Secure",3,28.779,3
"12","24","021","740200","00302","24021740200","00302","$50,000 to $59,999","2",56032.4655311778,46,6963074.9445244,2638.76390465771,640.263977629652,1400,1072.53993533487,20.8130715935335,278.576841982261,852.608500221043,29.99,344.218382654032,3998.74673178574,47984.9607814289,7683.16773155582,59999,50000,12014.0392185711,2015.03921857109,4330.87148701527,-5668.12851298473,"At-Risk",2,36.189,2
"13","24","021","740200","00302","24021740200","00302","$50,000 to $59,999","3",54160.4062805873,20,7765026.61579791,2786.57973433346,863.122400815767,1590,1152.01847960848,401.830212071778,217.783529232353,612.169172268908,29.99,425.474462172838,4429.26585535436,53151.1902642523,10357.4688097892,59999,50000,6847.80973574768,-3151.19026425232,-3509.65907404152,-13508.6590740415,"Food Insecure",2,11.398,2
"14","24","021","740200","00302","24021740200","00302","$50,000 to $59,999","4",54971.9577272727,6,11245327.1034489,3353.40529960948,1109.9272760764,1990,1432.1664,619.037090909091,136.515072481132,332.718286163522,29.99,531.763583946663,5072.19043350041,60866.2852020049,13319.1273129169,59999,50000,-867.285202004889,-10866.2852020049,-14186.4125149217,-24185.4125149217,"Food Insecure",2,10.127,2
"15","24","021","740200","00302","24021740200","00302","$50,000 to $59,999","5",56239.3422680412,5,1883171.79158022,1372.28706602526,1324.47628936572,2370,1347.78259793814,1528.42432989691,95.6269673350515,161.778505154639,29.99,669.630018453583,6203.23241877833,74438.7890253399,15893.7154723887,59999,50000,-14439.7890253399,-24438.7890253399,-30333.5044977286,-40332.5044977286,"Food Insecure",4,2.507,3
"16","24","021","740200","00302","24021740200","00302","$60,000 to $74,999","1",66625.6004887867,83,20263589.4572106,4501.50968645083,349.857243896371,1370,547.008,0,471.534948494222,1261.82472132905,29.99,276.839019239059,3957.19668906233,47486.3602687479,4198.28692675645,74999,60000,27512.6397312521,12513.6397312521,23314.3528044956,8315.35280449562,"Food Secure",2,19.139,2
"17","24","021","740200","00302","24021740200","00302","$60,000 to $74,999","2",68434.3182567216,71,14680279.4775071,3831.48528347782,639.311999998272,1400,1042.30405550737,25.3036947094536,406.290515820409,1107.2411662531,29.99,354.320026603551,4365.44945889389,52385.3935067267,7671.74399997927,74999,60000,22613.6064932733,7614.60649327334,14941.8624932941,-57.1375067059225,"At-Risk",2,22.862,2
"18","24","021","740200","00302","24021740200","00302","$60,000 to $74,999","3",68169.9407407407,24,24153986.8357856,4914.6705724581,902.518944597246,1590,1339.83194074074,122.693135802469,338.916940101469,1064.49780262572,29.99,432.395096124192,4918.32491539459,59019.8989847351,10830.2273351669,74999,60000,15979.1010152649,980.101015264881,5148.87368009793,-9850.12631990207,"At-Risk",2,8.501,2
"19","24","021","740200","00302","24021740200","00302","$60,000 to $74,999","4",67553.33725,24,19122344.8954256,4372.91034614542,1115.2520250955,1990,1292.76224,554.549066666667,280.752277222514,663.177490439771,29.99,526.330560898469,5337.56163522742,64050.739622729,13383.0243011461,74999,60000,10948.260377271,-4050.73962272904,-2434.7639238751,-17433.7639238751,"Food Insecure",2,7.701,3
"20","24","021","740200","00302","24021740200","00302","$60,000 to $74,999","5",63376.7658854167,13,8136128.21436026,2852.38991275041,1368.91186547145,2370,1279.201,1461.33388888889,157.407267615234,303.680675636574,29.99,666.684402197557,6268.29723433825,75219.5668120591,16426.9423856573,74999,60000,-220.566812059056,-15219.5668120591,-16647.5091977164,-31646.5091977164,"Food Insecure",3,4.796,3
"21","24","021","740200","00302","24021740200","00302","$75,000 to $99,999","1",87826.833030465,100,49822301.0876303,7058.49141726689,349.857243896371,1370,547.008,0,627.570691626575,1876.06793573265,29.99,292.442593552295,4743.07922091152,56916.9506509382,4198.28692675645,99999,75000,43082.0493490618,18083.0493490618,38883.7624223053,13884.7624223053,"Food Secure",2,30.646,2
"22","24","021","740200","00302","24021740200","00302","$75,000 to $99,999","2",89078.5264451525,125,51961743.4841068,7208.44945075616,639.364975124395,1400,1056.66907237142,13.8679472007283,628.760417302199,1622.23603424767,29.99,376.865241199874,5128.38871232189,61540.6645478627,7672.37970149274,99999,75000,38458.3354521373,13459.3354521373,30785.9557506446,5786.95575064458,"Food Secure",1,60.296,2
"23","24","021","740200","00302","24021740200","00302","$75,000 to $99,999","3",89852.9678938356,47,47715452.5918861,6907.63726551171,884.764919622264,1590,1308.04224657534,279.124863013699,540.990979681971,1425.20399910635,29.99,463.291300889328,5636.64338926668,67639.7206712002,10617.1790354672,99999,75000,32359.2793287998,7360.27932879978,21742.1002933326,-3256.89970666739,"At-Risk",2,25.429,2
"24","24","021","740200","00302","24021740200","00302","$75,000 to $99,999","4",87538.7081175299,37,48452379.0098618,6960.77431108506,1086.13479082857,1990,1260.18874900398,812.865298804781,435.660920794546,1056.89663376111,29.99,561.483975943188,6147.0855783076,73765.0269396912,13033.6174899428,99999,75000,26233.9730603088,1234.97306030875,13200.3555703659,-11798.6444296341,"At-Risk",3,15.864,3
"25","24","021","740200","00302","24021740200","00302","$75,000 to $99,999","5",88515.7250526316,26,48724948.1484428,6980.32579099592,1390.80841720126,2370,1457.92026947368,1374.54534736842,406.805806021277,840.363217100079,29.99,703.006984006464,7182.63162396992,86191.5794876391,16689.7010064151,99999,75000,13807.4205123609,-11191.5794876391,-2882.28049405418,-27881.2804940542,"Food Insecure",2,11.765,1
"26","24","021","740200","00302","24021740200","00302","$100,000 to $124,999","1",110241.490909091,45,41764536.6297872,6462.5487719465,349.857243896371,1370,547.008,0,791.810127789894,2492.52366708385,29.99,308.866537168626,5540.19833204238,66482.3799845085,4198.28692675645,124999,1e+05,58516.6200154915,33517.6200154915,54318.333088735,29319.333088735,"Food Secure",2,37.442,2
"27","24","021","740200","00302","24021740200","00302","$100,000 to $124,999","2",113069.094808232,133,44612337.1666927,6679.24675144531,637.034149024998,1400,1054.10334892423,46.4910383536015,802.013159446987,2168.6350081373,29.99,396.963169574982,5898.1957244371,70778.3486932452,7644.40978829998,124999,1e+05,54220.6513067548,29221.6513067548,46576.2415184549,21577.2415184549,"Food Secure",1,76.021,1
"28","24","021","740200","00302","24021740200","00302","$100,000 to $124,999","3",110486.370491803,51,47638720.469313,6902.080879656,883.886319656243,1590,1340.05750819672,271.375491803279,784.782363613802,1938.8544579288,29.99,490.009168327005,6445.06898986961,77340.8278784353,10606.6358358749,124999,1e+05,47658.1721215647,22659.1721215647,37051.5362856898,12052.5362856898,"Food Secure",2,51.411,2
"29","24","021","740200","00302","24021740200","00302","$100,000 to $124,999","4",111600.629390863,34,43231851.4134417,6575.09326271816,1037.38988955347,1990,1292.82702944162,978.540385786802,767.457834323615,1557.64571833495,29.99,609.620513910551,7226.08148179755,86712.9777815705,12448.6786746416,124999,1e+05,38286.0222184295,13287.0222184295,25837.3435437879,838.343543787862,"Food Secure",3,33.986,3
"30","24","021","740200","00302","24021740200","00302","$100,000 to $124,999","5",111897.215363128,31,43325592.4093303,6582.21789439777,1505.3334636109,2370,1322.59811396648,1293.16044692737,553.80694361808,1339.00105824683,29.99,707.488896812283,7616.04545957105,91392.5455148525,18064.0015633308,124999,1e+05,33606.4544851475,8607.45448514746,15542.4529218167,-9456.5470781833,"At-Risk",3,21.14,2
"31","24","021","740200","00302","24021740200","00302","$125,000 to $149,999","1",136037.348404255,33,34129758.9120934,5842.06803384669,349.857243896371,1370,547.008,0,981.743479807146,3369.01361888112,29.99,327.859872370352,6625.61497105862,79507.3796527034,4198.28692675645,149999,125000,70491.6203472966,45492.6203472966,66293.3334205401,41294.3334205401,"Food Secure",2,26.385,2
"32","24","021","740200","00302","24021740200","00302","$125,000 to $149,999","2",137474.321561969,102,48240878.8373717,6945.56540804071,640.01641286219,1400,1062.13041765705,7.3988455008489,973.051414177548,2828.04719947025,29.99,411.258709019763,6711.87658582546,80542.5190299055,7680.19695434628,149999,125000,69456.4809700945,44457.4809700945,61776.2840157482,36777.2840157482,"Food Secure",1,80.267,1
"33","24","021","740200","00302","24021740200","00302","$125,000 to $149,999","3",137597.829531568,53,52449689.1607274,7242.21576319895,867.789909222403,1590,1284.52184114053,359.959185336049,981.584150632679,2695.3807337884,29.99,511.384508633166,7452.82041953082,89433.8450343698,10413.4789106688,149999,125000,60565.1549656302,35566.1549656302,50151.6760549613,25152.6760549613,"Food Secure",1,82.078,1
"34","24","021","740200","00302","24021740200","00302","$125,000 to $149,999","4",137156.67518797,39,58763885.5217062,7665.76059642527,1131.68761437538,1990,1591.66989473684,321.725112781955,980.629070205814,2504.64196006749,29.99,604.570169209999,8023.2262070021,96278.7144840252,13580.2513725046,149999,125000,53720.2855159748,28721.2855159748,40140.0341434702,15141.0341434702,"Food Secure",3,55.565,3
"35","24","021","740200","00302","24021740200","00302","$125,000 to $149,999","5",136069.565284974,22,57261482.0032723,7567.13168930423,1405.26273132232,2370,1864.92882901554,1104.41502590674,860.611306496587,2202.0330420712,29.99,763.520789274119,9195.49899276418,110345.98791317,16863.1527758679,149999,125000,39653.0120868298,14654.0120868298,22789.8593109619,-2209.14068903805,"At-Risk",3,43.704,2
"36","24","021","740200","00302","24021740200","00302","$150,000 to $199,999","1",170011.861764706,25,217061501.959284,14733.0072272868,349.857243896371,1370,547.008,0,1220.45740245086,4278.19419635284,29.99,351.731264634723,7797.38086343842,93568.5703612611,4198.28692675645,199999,150000,106430.429638739,56431.4296387389,102232.142711982,52233.1427119825,"Food Secure",2,23.455,2
"37","24","021","740200","00302","24021740200","00302","$150,000 to $199,999","2",175199.742715232,126,186378107.4045,13652.0367493096,640.615263997174,1400,1076.67941721854,14.2101229895932,1243.29305550176,3883.36205152807,29.99,440.478785970707,8088.01343320868,97056.1611985041,7687.38316796609,199999,150000,102942.838801496,52943.8388014959,95255.4556335298,45256.4556335298,"Food Secure",1,132.142,1
"38","24","021","740200","00302","24021740200","00302","$150,000 to $199,999","3",172737.8268,70,199413621.963921,14121.3888114421,892.427388201381,1590,1315.007232,210.198208,1227.13604296431,3636.81257273639,29.99,526.475887116569,8535.61994281727,102427.439313807,10709.1286584166,199999,150000,97571.5606861928,47572.5606861928,86862.4320277762,36863.4320277762,"Food Secure",2,90.265,2
"39","24","021","740200","00302","24021740200","00302","$150,000 to $199,999","4",173214.216438907,67,178694293.228641,13367.6584796531,1113.43593782169,1990,1324.42772990354,530.255144694534,1233.82121980625,3373.0382044741,29.99,622.193003222601,9103.72530210101,109244.703625212,13361.2312538603,199999,150000,90754.2963747878,40755.2963747878,77393.0651209275,27394.0651209275,"Food Secure",3,100.999,3
"40","24","021","740200","00302","24021740200","00302","$150,000 to $199,999","5",174345.898988196,34,195719848.941055,13989.9910271971,1474.32412250099,2370,1825.51236424958,984.613423271501,1190.63280475954,3208.69148099415,29.99,787.507271478161,10396.9473447529,124763.368137035,17691.8894700119,199999,150000,75235.6318629648,25236.6318629648,57543.7423929529,7544.74239295292,"Food Secure",3,77.139,2
"41","24","021","740200","00302","24021740200","00302","$200,000 or more","1",283761.666715116,18,8201321842.41754,90561.1497410316,349.857243896371,1370,547.008,0,2025.16964747972,8064.44012302693,29.99,432.202489137609,12468.8102596443,149625.723115731,4198.28692675645,1e+07,2e+05,9850374.27688427,50374.276884269,9846175.98995751,46175.9899575125,"Food Secure",1,8.415,2
