"","STATEFP","COUNTYFP","TRACTCE","PUMA20","geoid","PUMA5CE_new","PUMA5CE","income_cat","hh_size","income_hh","num","var.w","sd","food_costs","housing_cost","trans_cost","cc_cost","healthcare_cost","net_taxes","internet_cost","other_cost","other_cost_20","non_food_exp","nonfood_cost_year","food_cost_year","upper_income","lower_income","food_budget_max","food_budget_min","net_result_max","net_result_min","food_insecure_status","num_hh"
"1","11","001","000101","00106","11001000101","00106","101","Less than $35,000","1",16855.3075042777,155,104517496.105907,10223.3798768268,440.016533639974,1589,344.760652175208,0,39.3609944392099,100.113043978522,23.4861010989011,243.662428135329,405.803306727995,2340.38321982717,28084.5986379261,5280.19840367969,35000,0,6915.40136207395,-28084.5986379261,1635.20295839426,-33364.7970416057,"At-Risk",83.791
"2","11","001","000101","00106","11001000101","00106","101","Less than $35,000","2",14191.313755796,43,98592690.8627052,9929.38522078307,793.9613706608,1615,655.518319201499,131.865500463679,4.75525250466102,0,23.4861010989011,322.458654392954,481.79227413216,2753.08382766169,33037.0059319403,9527.5364479296,35000,0,1962.99406805968,-33037.0059319403,-7564.54237986991,-42564.5423798699,"Food Insecure",5.724
"3","11","001","000101","00106","11001000101","00106","101","Less than $35,000","3",7749.63214285714,10,88123434.2333717,9387.40828095656,1135.54958752058,1838,813.532242314355,371.86048,0,0,23.4861010989011,418.242841093383,594.709917504116,3465.12166450664,41581.4599740797,13626.5950502469,35000,0,-6581.45997407967,-41581.4599740797,-20208.0550243266,-55208.0550243266,"Food Insecure",3.485
"4","11","001","000101","00106","11001000101","00106","101","Less than $35,000","4",12347.2991452991,7,105429937.952844,10267.9081585708,1418.05415456368,2299,864.924877805167,745.801299145299,0,0,23.4861010989011,535.126643261305,743.410830912736,4468.33892131067,53620.0670557281,17016.6498547642,35000,0,-18620.0670557281,-53620.0670557281,-35636.7169104922,-70636.7169104923,"Food Insecure",0
"5","11","001","000101","00106","11001000101","00106","101","Less than $35,000","5",33231.1111111111,2,566881.045751634,752.915032225838,1973.96306063488,2742,1151.97943919505,0,0,0,23.4861010989011,589.142860092883,943.192612126977,4506.60840038683,54079.300804642,23687.5567276186,35000,0,-19079.300804642,-54079.300804642,-42766.8575322606,-77766.8575322606,"Food Insecure",0
"6","11","001","000101","00106","11001000101","00106","101","$35,000 to $49,999","1",41601.4864104967,49,22388955.0324137,4731.69684493984,440.016533639974,1589,344.760652175208,0,209.532183870536,643.358688126566,23.4861010989011,260.679547078462,405.803306727995,3070.81717234967,36849.8060681961,5280.19840367969,49999,35000,13149.1939318039,-1849.80606819608,7868.99552812424,-7130.00447187576,"At-Risk",0
"7","11","001","000101","00106","11001000101","00106","101","$35,000 to $49,999","2",38895.1869688385,14,13891309.4535797,3727.1047011829,806.548982689131,1615,655.518319201499,0,151.278888624674,570.183542210618,23.4861010989011,325.183229161421,484.309796537826,3340.65008029711,40087.8009635653,9678.58779226957,49999,35000,9911.19903643466,-5087.80096356534,232.611244165089,-14766.3887558349,"At-Risk",0
"8","11","001","000101","00106","11001000101","00106","101","$35,000 to $49,999","3",41984.0714285714,3,4026962.11672474,2006.72920861903,1154.60596389922,1838,813.532242314355,0,106.772264746479,217.335504694836,23.4861010989011,393.639657205895,598.521192779843,3392.76577006047,40713.1892407256,13855.2715667906,49999,35000,9285.81075927441,-5713.18924072559,-4569.46080751618,-19568.4608075162,"Food Insecure",0
"9","11","001","000101","00106","11001000101","00106","101","$35,000 to $49,999","4",39691.0617283951,4,9736166.15864198,3120.28302540683,1442.1854001411,2299,864.924877805167,356.01335308642,70.8634293333333,167.522150205761,23.4861010989011,505.647316146492,748.237080028219,4287.45722767607,51449.4867321129,17306.2248016931,49999,35000,-1450.48673211288,-16449.4867321129,-18756.711533806,-33755.711533806,"Food Insecure",0
"10","11","001","000101","00106","11001000101","00106","101","$35,000 to $49,999","5",41603.8103448276,2,682440.156382335,826.099362293868,2014.64794910178,2742,1151.97943919505,3086.67605517241,0,0.0237828947368407,23.4861010989011,901.878954456815,951.329589820356,7906.04433281792,94872.531993815,24175.7753892214,49999,35000,-44873.531993815,-59872.531993815,-69049.3073830364,-84048.3073830364,"Food Insecure",0
"11","11","001","000101","00106","11001000101","00106","101","$50,000 to $59,999","1",54952.599458728,54,9773668.73180743,3126.28673218044,440.016533639974,1589,344.760652175208,0,387.126603578377,961.714253285544,23.4861010989011,278.438989049246,405.803306727995,3584.52659918728,43014.3191902473,5280.19840367969,59999,50000,16984.6808097527,6985.68080975268,11704.482406073,1705.48240607299,"Food Secure",8.894
"12","11","001","000101","00106","11001000101","00106","101","$50,000 to $59,999","2",55459.8449612403,28,5979257.97203281,2445.25212852025,806.696978339952,1615,655.518319201499,0,283.141921824742,855.576852806415,23.4861010989011,338.384332046509,484.33939566799,3771.10752697807,45253.2903237368,9680.36374007943,59999,50000,14745.7096762632,4746.70967626321,5065.34593618379,-4933.65406381621,"At-Risk",4.428
"13","11","001","000101","00106","11001000101","00106","101","$50,000 to $59,999","3",54901.4534883721,7,10707681.0329117,3272.25931626938,1107.04029552582,1838,813.532242314355,400.808604651163,247.842407166667,681.925,23.4861010989011,443.07096507569,589.008059105163,4448.66532030678,53383.9838436813,13284.4835463098,59999,50000,6615.0161563187,-3383.9838436813,-6669.46738999108,-16668.4673899911,"Food Insecure",1.678
