"","STATEFP","COUNTYFP","TRACTCE","PUMA5CE_20","geoid","PUMA5CE","income_cat","hh_size","income_hh","num","var.w","sd","food_costs","housing_cost","trans_cost","cc_cost","healthcare_cost","net_taxes","internet_cost","other_cost","non_food_exp","nonfood_cost_year","food_cost_year","upper_income","lower_income","food_budget_max","food_budget_min","net_result_max","net_result_min","food_insecure_status","num_hh","moe"
"1","51","013","100100","01301","51013100100","1301","Less than $35,000","1",19141.5035511364,113,76737472.6628648,8759.99273189566,464.516340635518,1839.70149253731,457.346909090909,0,38.1643850172877,210.17356671789,29.99,282.971912728103,2858.3482660915,34300.179193098,5574.19608762622,35000,0,699.820806901975,-34300.179193098,-4874.37528072424,-39874.3752807242,"Food Insecure",24.413,1
"2","51","013","100100","01301","51013100100","1301","Less than $35,000","2",22094.9908759124,41,52700448.4620171,7259.50745312773,848.032906841973,1876.40066178541,873.799660252157,88.8960218978102,23.0310063412409,195.752562347932,29.99,374.015025711859,3461.88493833641,41542.6192600369,10176.3948821037,35000,0,-6542.61926003693,-41542.6192600369,-16719.0141421406,-51719.0141421406,"Food Insecure",24.67,1
"3","51","013","100100","01301","51013100100","1301","Less than $35,000","3",20187.5492957746,7,93317537.3698931,9660.1002774243,1191.4914500815,2131.84032666854,1124.04275544174,269.96676056338,0,3.5094718309859,29.99,474.733129275516,4034.08244378017,48408.989325362,14297.897400978,35000,0,-13408.989325362,-48408.989325362,-27706.88672634,-62706.88672634,"Food Insecure",5.785,1
"4","51","013","100100","01301","51013100100","1301","Less than $35,000","4",19282.7073170732,9,108796210.493579,10430.5421955706,1355.00280482229,2669.41882568291,857.060671101257,2060.89008130081,0,-410.104349593496,29.99,697.236238290727,5904.49146678221,70853.8976013865,16260.0336578675,35000,0,-35853.8976013865,-70853.8976013865,-52113.931259254,-87113.931259254,"Food Insecure",8.487,3
"5","51","013","100100","01301","51013100100","1301","Less than $35,000","5",29905.5153846154,5,13295204.0576775,3646.25891259486,1772.414810174,3177.76049000282,1243.63178741259,2508.74523076923,0,-474.147942817294,29.99,873.254231835863,7359.2337972032,88310.8055664384,21268.977722088,35000,0,-53310.8055664384,-88310.8055664384,-74579.7832885264,-109579.783288526,"Food Insecure",8.646,3
"6","51","013","100100","01301","51013100100","1301","$35,000 to $49,999","1",43510.6807692308,55,14925694.0573666,3863.37858064242,464.516340635518,1839.70149253731,457.346909090909,0,217.727627239113,678.602819775404,29.99,300.928236950285,3524.29708559302,42291.5650271163,5574.19608762622,49999,35000,7707.43497288371,-7291.56502711629,2133.23888525749,-12865.7611147425,"At-Risk",11.058,2
"7","51","013","100100","01301","51013100100","1301","$35,000 to $49,999","2",42797.0847457627,22,13673585.0458815,3697.78109761536,849.896270693011,1876.40066178541,869.152918335901,38.2258474576271,189.786571171171,657.803556306306,29.99,385.345226944312,4046.70478200073,48560.4573840088,10198.7552483161,49999,35000,1438.54261599124,-13560.4573840088,-8760.21263232489,-23759.2126323249,"Food Insecure",5.658,1
"8","51","013","100100","01301","51013100100","1301","$35,000 to $49,999","3",40566.5074626866,7,18915298.9134777,4349.17221014272,1202.28559201785,2131.84032666854,1095.58475983718,184.516417910448,84.0054321937322,440.715341880342,29.99,472.822252862775,4439.47453135302,53273.6943762362,14427.4271042142,49999,35000,-3274.69437623622,-18273.6943762362,-17702.1214804504,-32701.1214804504,"Food Insecure",1.934,1
"9","51","013","100100","01301","51013100100","1301","$35,000 to $49,999","4",46333,5,9462930.4787234,3076.18765336632,1497.15341306844,2669.41882568291,1231.69088215488,452.572275132275,79.4837174796748,301.55370596206,29.99,596.030911351818,5360.74031776362,64328.8838131634,17965.8409568213,49999,35000,-14329.8838131634,-29328.8838131634,-32295.7247699847,-47294.7247699847,"Food Insecure",3.978,2
"10","51","013","100100","01301","51013100100","1301","$35,000 to $49,999","5",41090.8421052632,7,13510471.588789,3675.65934068829,1763.71694257052,3177.76049000282,1188.73164225248,2806.00906882591,0,-195.916168091168,29.99,896.620814365173,7903.19584735522,94838.3501682626,21164.6033108462,49999,35000,-44839.3501682626,-59838.3501682626,-66003.9534791088,-81002.9534791088,"Food Insecure",4.371,3
